update,episodes,collision_rate,success_rate,interventions,infeasible,validation_success_rate,validation_collision_rate,barrier_loss,entropy,loss,policy_loss,value_loss,grad_l2,elapsed_seconds
1,3.0,0.0,0.3333333333333333,639.0,170.0,0.3,0.0,1.6221481561660767,-0.24910211563110352,1.321731448173523,-0.0,0.0455348864197731,3.7634806895770176,38.88962745666504
2,3.0,0.0,0.3333333333333333,589.0,69.0,0.3,0.0,1.0514686107635498,-0.25483202934265137,10.738799095153809,-0.0041647907346487045,19.801029205322266,5.536852742358534,43.57611036300659
3,3.0,0.0,0.3333333333333333,558.0,14.0,0.3,0.0,0.27645769715309143,-0.2570946216583252,26.687854766845703,-0.13305556774139404,53.19691467285156,12.092016753851862,54.52697134017944
4,2.0,0.0,0.0,566.0,100.0,0.3,0.0,0.2933480739593506,-0.258150577545166,13.91820240020752,-0.006682135164737701,27.377832412719727,5.032494132412065,58.582576751708984
5,3.0,0.0,0.3333333333333333,585.0,100.0,0.3,0.0,0.4110143184661865,-0.2597172260284424,0.19541402161121368,-0.14179779589176178,0.014203518629074097,1.8249257049569758,68.22295928001404
6,2.0,0.0,0.0,577.0,145.0,0.3,0.0,0.30402040481567383,-0.26228034496307373,12.128552436828613,-0.0038098637014627457,23.77566909790039,5.036564305568265,72.39256858825684
7,2.0,0.0,0.0,569.0,80.0,0.3,0.1,0.2949218153953552,-0.2635762691497803,9.86612606048584,-0.009331587702035904,19.276405334472656,4.151045544618828,76.9412214756012
8,3.0,0.0,0.3333333333333333,546.0,81.0,0.3,0.1,0.14435672760009766,-0.262658953666687,0.1538337916135788,-0.11841726303100586,0.31090474128723145,7.169442693716828,81.37546515464783
9,3.0,0.3333333333333333,0.0,670.0,87.0,0.3,0.1,0.15521292388439178,-0.26455938816070557,0.08880719542503357,-0.13497227430343628,0.1965726613998413,6.26703960307914,91.3089988231659
10,3.0,0.3333333333333333,0.3333333333333333,635.0,54.0,0.3,0.0,0.2746633291244507,-0.26741695404052734,6.541497230529785,-0.016797740012407303,12.674453735351562,2.6143313112746207,95.31574773788452
11,2.0,0.0,0.0,550.0,75.0,0.3,0.0,0.2639326751232147,-0.2684469223022461,10.187117576599121,-0.011531144380569458,19.972320556640625,6.326231885496146,99.83715772628784
12,3.0,0.0,0.3333333333333333,559.0,80.0,0.3,0.0,0.29680588841438293,-0.26912713050842285,0.2523609697818756,-0.19999971985816956,0.42714065313339233,1.094037664694287,104.37198448181152
