,,,ci_high,ci_high,ci_low,ci_low,estimate,estimate
metric,,,collision,team_success,collision,team_success,collision,team_success
policy,num_agents,scenario,,,,,,
mappo_local,5,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,5,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,7,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,10,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_local,12,ood_dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,3,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,3,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,3,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,3,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,3,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,5,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,5,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,5,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,5,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,5,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,7,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,7,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,7,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,7,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,7,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,10,dense,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,10,dropout,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,10,dynamic,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,10,static,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,10,wind,1.0,0.0,1.0,0.0,1.0,0.0
mappo_privileged,12,ood_dense,1.0,0.0,1.0,0.0,1.0,0.0
