update,episodes,collision_rate,success_rate,interventions,infeasible,validation_success_rate,validation_collision_rate,barrier_loss,entropy,loss,policy_loss,value_loss,grad_l2,elapsed_seconds
1,27.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9149038791656494,-0.23925447463989258,37.587825775146484,-0.13040056824684143,75.4340591430664,9.957480518117048,31.673929691314697
2,28.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5471315383911133,-0.236822247505188,0.30701756477355957,-0.10991805791854858,0.8315030336380005,2.348485939758021,37.11342644691467
3,28.0,0.9642857142857143,0.0,0.0,0.0,0.0,1.0,2.0219340324401855,-0.2400527149438858,52.42823791503906,-0.050209421664476395,104.9544906616211,16.227353945436857,41.17684841156006
4,27.0,0.9629629629629629,0.0,0.0,0.0,0.0,1.0,1.7381716966629028,-0.23807775974273682,0.10385214537382126,-0.180525004863739,0.5663735270500183,2.297440616550551,42.135008811950684
5,29.0,1.0,0.0,0.0,0.0,0.0,1.0,2.058812141418457,-0.23530197143554688,37.66328430175781,0.002225887030363083,75.31976318359375,9.31624065525408,43.02371382713318
6,25.0,0.96,0.0,0.0,0.0,0.0,1.0,2.0186080932617188,-0.23436999320983887,34.98604202270508,-0.0075857676565647125,69.98491668701172,9.840417375598138,43.99134421348572
7,27.0,1.0,0.0,0.0,0.0,0.0,1.0,2.113729476928711,-0.23742735385894775,0.5589019656181335,-0.12783989310264587,1.3711094856262207,4.308754197960868,44.93222260475159
8,31.0,0.967741935483871,0.0,0.0,0.0,0.0,1.0,2.0653390884399414,-0.24133515357971191,34.85908508300781,-0.006397917866706848,69.72855377197266,12.869325355628717,45.80713987350464
9,28.0,0.9642857142857143,0.0,0.0,0.0,0.0,1.0,1.7160872220993042,-0.24225986003875732,1.0383609533309937,-0.0,2.0742993354797363,5.837473080239815,48.25902795791626
10,30.0,0.9666666666666667,0.0,0.0,0.0,0.0,1.0,1.5407068729400635,-0.2416468858718872,53.03935241699219,-0.13820204138755798,106.35269165039062,23.59901791176859,51.706523180007935
11,30.0,0.9666666666666667,0.0,0.0,0.0,0.0,1.0,2.014265298843384,-0.24102270603179932,30.999759674072266,0.00022551976144313812,61.99665832519531,13.693968464634226,52.612669944763184
12,29.0,0.9655172413793104,0.0,0.0,0.0,0.0,1.0,1.4483978748321533,-0.24145793914794922,0.31655147671699524,-0.0,0.6306883692741394,3.6677649996223876,53.52268147468567
