update,episodes,collision_rate,success_rate,interventions,infeasible,validation_success_rate,validation_collision_rate,barrier_loss,entropy,loss,policy_loss,value_loss,grad_l2,elapsed_seconds
1,3.0,0.0,0.3333333333333333,618.0,137.0,0.3,0.3,1.4770677089691162,-0.24837708473205566,1.2166169881820679,-0.0,0.06744178384542465,4.393922678731587,36.04673910140991
2,3.0,0.0,0.3333333333333333,595.0,74.0,0.4,0.2,0.7244685888290405,-0.25437796115875244,13.64649486541748,-0.052661001682281494,26.236618041992188,6.404984592858268,46.98981785774231
3,3.0,0.0,0.3333333333333333,569.0,81.0,0.2,0.3,0.3363529145717621,-0.2568472623825073,0.4003872573375702,-0.0,0.26004135608673096,1.297543879101622,50.95433855056763
4,2.0,0.0,0.0,555.0,102.0,0.2,0.2,0.4828266203403473,-0.25676465034484863,13.517814636230469,-0.013038606382906437,26.286617279052734,5.04782161147497,53.82592511177063
5,3.0,0.3333333333333333,0.3333333333333333,655.0,69.0,0.3,0.3,0.40507590770721436,-0.2589350938796997,0.33933496475219727,-0.10434230417013168,0.2366437166929245,1.6093637171230875,63.94438624382019
6,3.0,0.0,0.3333333333333333,543.0,113.0,0.3,0.1,0.7325795888900757,-0.2604924440383911,56.50431442260742,-0.0,111.83390045166016,22.81691678595215,68.09750270843506
7,2.0,0.0,0.0,522.0,50.0,0.3,0.1,0.4164726734161377,-0.26004457473754883,13.469216346740723,-0.000828523188829422,26.271133422851562,5.708585240795195,72.01265406608582
8,3.0,0.0,0.3333333333333333,573.0,85.0,0.4,0.2,0.5095613598823547,-0.2619197368621826,0.3480769991874695,-0.14154738187789917,0.16133135557174683,4.8602223807396285,75.78990650177002
9,3.0,0.0,0.3333333333333333,503.0,70.0,0.5,0.1,0.316402792930603,-0.26653242111206055,15.961727142333984,0.007812082767486572,31.3989200592041,10.754330378507769,79.77902865409851
10,3.0,0.3333333333333333,0.3333333333333333,587.0,81.0,0.4,0.1,0.3227313160896301,-0.26972687244415283,9.904747009277344,-0.010562801733613014,19.311552047729492,9.172119015326578,88.07758212089539
11,3.0,0.0,0.3333333333333333,557.0,97.0,0.4,0.1,0.4008968770503998,-0.27331697940826416,18.790578842163086,-0.09931421279907227,37.1356201171875,13.479011428144629,96.2551498413086
12,3.0,0.0,0.3333333333333333,538.0,50.0,0.3,0.2,0.43596282601356506,-0.2760195732116699,13.692513465881348,-0.1431867480278015,26.971099853515625,11.989066473315031,99.20037126541138
