update,episodes,collision_rate,success_rate,interventions,infeasible,validation_success_rate,validation_collision_rate,barrier_loss,entropy,loss,policy_loss,value_loss,grad_l2,elapsed_seconds
1,2.0,0.0,0.0,576.0,112.0,0.1,0.2,1.29596745967865,-0.24202775955200195,11.89517593383789,-0.015050800517201424,21.74448585510254,5.946781575634227,28.198163270950317
2,2.0,0.0,0.0,626.0,271.0,0.1,0.2,0.7125546932220459,-0.24201428890228271,7.655975341796875,-0.012243987992405891,14.193931579589844,2.5674728253623575,32.25783181190491
3,2.0,0.0,0.0,588.0,189.0,0.0,0.4,0.5484262704849243,-0.24520432949066162,8.703300476074219,-0.013301294296979904,16.553268432617188,3.5384668043353362,36.15686798095703
4,2.0,0.0,0.0,654.0,169.0,0.0,0.1,0.5117599368095398,-0.24988389015197754,8.846639633178711,-0.0048724450170993805,16.881710052490234,3.1805771437587307,39.57100820541382
5,2.0,0.0,0.0,610.0,173.0,0.0,0.3,0.48480090498924255,-0.25304508209228516,6.616522312164307,-0.009804707951843739,12.474442481994629,2.328528208432428,43.11056065559387
6,3.0,0.3333333333333333,0.0,703.0,130.0,0.0,0.2,0.23211881518363953,-0.24933695793151855,0.21354059875011444,-0.18997442722320557,0.43314656615257263,4.807478373288445,59.018898248672485
7,2.0,0.0,0.0,673.0,177.0,0.1,0.1,0.4520329535007477,-0.24703609943389893,5.893925189971924,-0.01711464487016201,11.096357345581055,2.23848364418004,63.000044107437134
8,2.0,0.0,0.0,631.0,158.0,0.1,0.1,0.42116156220436096,-0.24555253982543945,6.547473907470703,-0.019121378660202026,12.456875801086426,3.0285192771472853,66.74043107032776
9,2.0,0.0,0.0,633.0,201.0,0.2,0.1,0.401613712310791,-0.24432682991027832,8.881183624267578,7.016584277153015e-05,17.11720085144043,4.085604742505691,70.78521633148193
10,2.0,0.0,0.0,628.0,221.0,0.2,0.1,0.42027974128723145,-0.24361979961395264,7.702634334564209,-0.016878660768270493,14.764142036437988,3.6130771768619065,74.77453589439392
11,2.0,0.0,0.0,502.0,86.0,0.0,0.2,0.4231175482273102,-0.24275362491607666,11.724140167236328,-0.0042508430778980255,22.77736473083496,6.972172575316345,78.1294572353363
12,2.0,0.0,0.0,611.0,83.0,0.2,0.2,0.3696940541267395,-0.24307715892791748,11.272000312805176,0.00563111761584878,21.938796997070312,7.406936642293672,81.20041537284851
