episode_id,policy,training_seed,evaluation_seed,num_agents,time,agent,x,y,z,vx,vy,vz,cmd_vx,cmd_vy,cmd_vz,min_pair_distance,send_latency_ms,telemetry_age_ms,interventions,qp_infeasible
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.0,0,6.793163299560547,-0.20795007050037384,2.7655999660491943,0.024579763412475586,-0.0399743989109993,0.002651533577591181,-1.2600362300872803,0.06896226108074188,0.35714638233184814,7.688720703125,2.0898880902677774,0.4546500276774168,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.0,1,1.8746658563613892,5.945014476776123,3.569524049758911,-0.05060184746980667,0.004647022113204002,0.011141910217702389,-0.5170437693595886,-1.2490943670272827,0.165492981672287,7.688720703125,2.0898880902677774,0.7292400114238262,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.0,2,-5.827386856079102,3.9749631881713867,2.7734527587890625,-0.08660737425088882,0.03817925974726677,0.0025412540417164564,1.1956878900527954,-0.9344779849052429,0.2958347499370575,7.688720703125,2.0898880902677774,0.42394199408590794,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.0,3,-5.052004814147949,-3.5828466415405273,3.954434394836426,-0.0560910589993,0.005495944991707802,-0.010928453877568245,1.1962392330169678,0.9695367813110352,0.097004234790802,7.688720703125,2.0898880902677774,0.6701231468468904,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.0,4,1.9596302509307861,-6.723625183105469,2.143350601196289,-0.03384189307689667,0.01605040952563286,-0.00946761853992939,-0.4745706617832184,1.2618027925491333,0.43737953901290894,7.688720703125,2.0898880902677774,0.4859110340476036,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.1,0,6.819237232208252,-0.21715055406093597,2.7616937160491943,-0.014653942547738552,-0.04373505339026451,-0.02876991406083107,-1.2600220441818237,0.06894700974225998,0.3572499752044678,7.702857494354248,2.170155057683587,15.664298087358475,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.1,1,1.883072018623352,5.943004608154297,3.570805788040161,-0.0831727683544159,0.00344960973598063,0.008088854141533375,-0.5176544785499573,-1.2487914562225342,0.1652979552745819,7.702857494354248,2.170155057683587,20.284872967749834,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.1,2,-5.858701229095459,3.9789717197418213,2.7712249755859375,-0.1494421362876892,0.04409358277916908,0.005287890788167715,1.1957672834396362,-0.9338357448577881,0.2965390384197235,7.702857494354248,2.170155057683587,10.705902939662337,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.1,3,-5.083599090576172,-3.593623399734497,3.949795722961426,-0.14522139728069305,0.002125263912603259,-0.02209070324897766,1.196665644645691,0.9667079448699951,0.09843377768993378,7.702857494354248,2.170155057683587,15.664007980376482,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.1,4,1.9395625591278076,-6.718724250793457,2.140024185180664,-0.09563754498958588,0.024632776156067848,-0.010285397991538048,-0.47284799814224243,1.2619993686676025,0.43759074807167053,7.702857494354248,2.170155057683587,14.555221889168024,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.2,0,6.822638988494873,-0.21784943342208862,2.7582757472991943,0.030924193561077118,-0.03816315159201622,-0.018725164234638214,-1.2599921226501465,0.07001778483390808,0.3574928045272827,7.709505558013916,2.1194489672780037,18.05333001539111,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.2,1,1.880518913269043,5.945502281188965,3.569676637649536,-0.03410838916897774,0.0066465712152421474,-8.856992644723505e-05,-0.5175434350967407,-1.2492164373397827,0.16495902836322784,7.709505558013916,2.1194489672780037,22.719969041645527,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.2,2,-5.867910385131836,3.984584331512451,2.7721710205078125,-0.10285914689302444,0.060401368886232376,0.018155548721551895,1.1962144374847412,-0.9331560730934143,0.2956358790397644,7.709505558013916,2.1194489672780037,13.21072201244533,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.2,3,-5.098498344421387,-3.595647096633911,3.948849678039551,-0.09794279932975769,0.01222280040383339,-0.004894505254924297,1.1967962980270386,0.9676917791366577,0.09792307764291763,7.709505558013916,2.1194489672780037,18.079305998981,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.2,4,1.9337390661239624,-6.7124176025390625,2.140268325805664,-0.054433517158031464,0.03619903326034546,0.004554028622806072,-0.47228071093559265,1.262160301208496,0.43790844082832336,7.709505558013916,2.1194489672780037,17.008786089718342,0,0
mappo_local_train1104_n5_seed41018,mappo_local,1104,41018,5,0.30000000000000004,0,6.831723213195801,-0.2227184772491455,2.7538201808929443,0.09515432268381119,-0.03353168070316315,-0.03377507999539375,-1.2600346803665161,0.07142189890146255,0.3577212691307068,7.715515613555908,6.803400814533234,24.18205002322793,0,0
