update,episodes,collision_rate,success_rate,interventions,infeasible,validation_success_rate,validation_collision_rate,barrier_loss,entropy,loss,policy_loss,value_loss,grad_l2,elapsed_seconds
1,3.0,0.3333333333333333,0.0,627.0,148.0,0.0,0.1,1.4687285423278809,-0.240317702293396,0.979689359664917,-0.19999730587005615,0.007004283834248781,4.706938276706529,41.48027729988098
2,2.0,0.0,0.0,650.0,237.0,0.0,0.1,0.7169108390808105,-0.23944485187530518,7.557441711425781,-0.0008401968516409397,13.967111587524414,3.732698570963804,46.30879759788513
3,2.0,0.0,0.0,619.0,214.0,0.0,0.1,0.39929333329200745,-0.2402489185333252,9.607550621032715,-0.00223701074719429,18.57830238342285,3.4328565663290505,50.69799566268921
4,3.0,0.3333333333333333,0.0,702.0,140.0,0.0,0.1,0.08391844481229782,-0.23823654651641846,27.75153923034668,-0.07411301136016846,55.514652252197266,10.419036744651812,55.41724729537964
5,2.0,0.0,0.0,632.0,180.0,0.0,0.1,0.32686087489128113,-0.23794186115264893,6.6443190574646,0.0013661980628967285,12.76054859161377,2.9125975039259044,60.10150766372681
6,2.0,0.0,0.0,667.0,284.0,0.0,0.1,0.34435978531837463,-0.23590779304504395,9.005969047546387,-0.009214429184794426,17.477031707763672,3.5555900705759305,64.6697108745575
7,2.0,0.0,0.0,645.0,142.0,0.0,0.2,0.3105432093143463,-0.2342052459716797,5.04267692565918,-0.006145557388663292,9.598433494567871,2.8558786750334875,68.27183818817139
8,3.0,0.3333333333333333,0.0,698.0,177.0,0.0,0.1,0.3381280303001404,-0.2306731939315796,0.27545446157455444,-0.034292303025722504,0.07618195563554764,8.76865133247026,76.20013666152954
9,3.0,0.3333333333333333,0.0,667.0,146.0,0.0,0.2,0.2741703689098358,-0.2279607057571411,9.801626205444336,0.0003312099725008011,19.161638259887695,2.476213550907077,80.68901014328003
10,2.0,0.0,0.0,641.0,184.0,0.0,0.2,0.27269014716148376,-0.227422833442688,6.235578536987305,-0.003017599694430828,12.038613319396973,4.096035308534476,85.37445163726807
11,3.0,0.3333333333333333,0.0,656.0,247.0,0.0,0.1,0.1964612454175949,-0.22879767417907715,19.81679916381836,-0.1749497950077057,39.6668701171875,11.126503877637845,95.25977063179016
12,2.0,0.0,0.0,625.0,228.0,0.0,0.1,0.2702588140964508,-0.23141098022460938,7.204638957977295,-0.0006022192537784576,13.975753784179688,4.650853740769233,99.34936571121216
