collision,collision_type,comm_drop_rate,interventions,mean_goal_distance,mean_inference_ms,mean_path_length,min_dynamic_distance,min_pair_distance,min_static_clearance,num_agents,p95_inference_ms,policy,qp_infeasible,scenario,seed,steps,team_success,timeout,total_energy,training_seed,trajectory_file
False,none,0.057065217391304345,313,4.260969638824463,0.32966617254714947,17.606773110417027,inf,1.450681447982788,0.8029184341430664,3,0.40549911791458726,distributed_cbf,119,static,31000,128,False,True,78.24722999606456,-1,distributed_cbf_train-1_n3_static_seed31000.json
False,none,0.05291005291005291,314,4.038607120513916,0.31604636933479924,17.440058909511816,inf,1.7532718181610107,0.7735724449157715,3,0.4403120023198425,distributed_cbf,115,static,31001,128,False,True,87.51128537424665,-1,distributed_cbf_train-1_n3_static_seed31001.json
False,none,0.05555555555555555,312,4.346437931060791,0.3121202262263978,17.759610639264185,inf,1.5965746641159058,1.0523688793182373,3,0.4752083914354442,distributed_cbf,114,static,31002,128,False,True,87.01665478624636,-1,distributed_cbf_train-1_n3_static_seed31002.json
False,none,0.03571428571428571,306,4.391236782073975,0.2597923048597295,18.01621945326527,inf,1.5213407278060913,1.0181231498718262,3,0.37423631874844426,distributed_cbf,111,static,31003,128,False,True,89.0006550998005,-1,
False,none,0.07103825136612021,309,3.9388158321380615,0.21807721896038856,18.081123125739396,inf,1.7380115985870361,1.0726609230041504,3,0.3003622521646319,distributed_cbf,118,static,31004,128,False,True,71.37160879512521,-1,
False,none,0.05759162303664921,310,4.559442520141602,1.0065182486869162,19.25268888908128,inf,1.5166162252426147,0.8822305202484131,3,0.45616519637405867,distributed_cbf,111,static,31005,128,False,True,80.31434959429316,-1,
False,none,0.052795031055900624,309,3.755967378616333,0.3260837620473467,17.64605662956213,inf,1.5311208963394165,0.1961817741394043,3,0.41445019887760276,distributed_cbf,109,static,31006,128,False,True,97.06569513840077,-1,
False,none,0.06534090909090909,311,4.381485462188721,0.28942599055881146,19.675583272939548,inf,1.506594181060791,0.8249404430389404,3,0.35817422904074186,distributed_cbf,118,static,31007,128,False,True,103.58653323438466,-1,
False,none,0.04864864864864865,315,4.605992317199707,0.3257681873947149,17.58235794569676,inf,1.4492732286453247,0.7078571319580078,3,0.4049068898893893,distributed_cbf,124,static,31008,128,False,True,84.6123588227274,-1,
False,none,0.041666666666666664,302,4.129852294921875,0.3168356870446587,17.312128834193572,inf,1.847580909729004,0.3749222755432129,3,0.3982138936407864,distributed_cbf,127,static,31009,128,False,True,87.15058132030845,-1,
False,none,0.047619047619047616,304,4.2509660720825195,0.353344936229405,18.157286670214187,inf,1.64280104637146,0.7927742004394531,3,0.6328989402391014,distributed_cbf,120,static,31010,128,False,True,77.88873985025566,-1,
False,none,0.049479166666666664,313,4.411978721618652,0.20073733685421757,18.549285400503624,inf,1.5398896932601929,0.6786153316497803,3,0.2664448111318051,distributed_cbf,118,static,31011,128,False,True,98.1727718062466,-1,
False,none,0.05555555555555555,305,4.511665344238281,0.2611233103380073,18.331738649557035,inf,1.5933952331542969,0.8513116836547852,3,0.3547525499016046,distributed_cbf,118,static,31012,128,False,True,71.29355255766131,-1,
False,none,0.031746031746031744,318,4.096429347991943,0.3142983932775678,16.885052249534056,inf,1.4552756547927856,0.7531654834747314,3,0.47933636233210564,distributed_cbf,115,static,31013,128,False,True,92.26948484084414,-1,
False,none,0.03355704697986577,302,4.501560211181641,0.3079131856793538,17.267904887596767,inf,2.0421438217163086,0.43960127234458923,3,0.37591516738757486,distributed_cbf,131,static,31014,128,False,True,82.9580288774523,-1,
False,none,0.05291005291005291,314,4.308542251586914,0.3134475973638473,17.19297505589202,inf,1.0103340148925781,0.8221004009246826,3,0.4104235558770596,distributed_cbf,120,static,31015,128,False,True,81.60569408758602,-1,
False,none,0.048295454545454544,303,4.489841938018799,0.3072782601520885,18.47400639827053,inf,1.73991858959198,0.7898976802825928,3,0.4247832112014291,distributed_cbf,120,static,31016,128,False,True,78.08966268329823,-1,
False,none,0.03723404255319149,308,3.834221839904785,0.31941327324602753,17.912019502798405,inf,1.4596468210220337,0.7679510116577148,3,0.4211135674268005,distributed_cbf,119,static,31017,128,False,True,85.6854897499652,-1,
False,none,0.03428571428571429,304,4.248851299285889,0.7403199524560478,18.21211794872458,inf,1.3513087034225464,0.696265697479248,3,0.4126730258576571,distributed_cbf,115,static,31018,128,False,True,78.76726436488389,-1,
False,none,0.0521978021978022,313,4.035462379455566,0.30860678634780925,17.359358365026612,inf,1.625948429107666,0.9075877666473389,3,0.3836134797893463,distributed_cbf,119,static,31019,128,False,True,84.69113911828026,-1,
False,none,0.05675675675675676,319,4.415463924407959,0.3081664071942214,17.573590831520658,inf,1.513608694076538,0.5952737331390381,3,0.3930839011445641,distributed_cbf,116,static,31020,128,False,True,81.07771295512794,-1,
False,none,0.053475935828877004,309,4.429505825042725,0.3107519351033261,19.318467533797957,inf,1.4676365852355957,0.7527921199798584,3,0.4178222850896417,distributed_cbf,116,static,31021,128,False,True,79.03884461056441,-1,
