policy,num_agents,scenario,metric,n,estimate,ci_low,ci_high
gcbf_privileged,3,static,team_success,500,0.092,0.014,0.224
gcbf_privileged,3,static,collision,500,0.0,0.0,0.0
gcbf_privileged,3,wind,team_success,500,0.374,0.23195000000000002,0.476
gcbf_privileged,3,wind,collision,500,0.364,0.298,0.4420499999999997
gcbf_privileged,5,dense,team_success,500,0.46,0.242,0.65
gcbf_privileged,5,dense,collision,500,0.118,0.082,0.156
gcbf_privileged,5,dropout,team_success,500,0.188,0.08995,0.274
gcbf_privileged,5,dropout,collision,500,0.536,0.444,0.6340499999999998
gcbf_privileged,5,dynamic,team_success,500,0.16,0.07,0.238
gcbf_privileged,5,dynamic,collision,500,0.364,0.286,0.454
gcbf_privileged,5,static,team_success,500,0.1,0.018,0.23
gcbf_privileged,5,static,collision,500,0.03,0.016,0.046
gcbf_privileged,5,wind,team_success,500,0.15,0.078,0.214
gcbf_privileged,5,wind,collision,500,0.698,0.628,0.7660499999999998
gcbf_privileged,7,dense,team_success,500,0.372,0.174,0.53
gcbf_privileged,7,dense,collision,500,0.214,0.162,0.268
gcbf_privileged,7,dropout,team_success,500,0.164,0.072,0.248
gcbf_privileged,7,dropout,collision,500,0.604,0.524,0.6980499999999997
gcbf_privileged,7,dynamic,team_success,500,0.102,0.038,0.168
gcbf_privileged,7,dynamic,collision,500,0.346,0.25,0.48
gcbf_privileged,7,static,team_success,500,0.002,0.0,0.01
gcbf_privileged,7,static,collision,500,0.016,0.006,0.03
gcbf_privileged,7,wind,team_success,500,0.136,0.064,0.2
gcbf_privileged,7,wind,collision,500,0.772,0.698,0.862
gcbf_privileged,10,dense,team_success,500,0.06,0.026,0.094
gcbf_privileged,10,dense,collision,500,0.374,0.32,0.428
gcbf_privileged,10,dropout,team_success,500,0.01,0.002,0.022
gcbf_privileged,10,dropout,collision,500,0.654,0.586,0.726
gcbf_privileged,10,dynamic,team_success,500,0.012,0.0,0.03
gcbf_privileged,10,dynamic,collision,500,0.486,0.394,0.596
gcbf_privileged,10,static,team_success,500,0.0,0.0,0.0
gcbf_privileged,10,static,collision,500,0.08,0.058,0.106
gcbf_privileged,10,wind,team_success,500,0.018,0.002,0.038
gcbf_privileged,10,wind,collision,500,0.844,0.79195,0.902
gcbf_privileged,12,ood_dense,team_success,500,0.0,0.0,0.0
gcbf_privileged,12,ood_dense,collision,500,1.0,1.0,1.0
mappo_local,3,dense,team_success,500,0.0,0.0,0.0
mappo_local,3,dense,collision,500,1.0,1.0,1.0
mappo_local,3,dropout,team_success,500,0.0,0.0,0.0
mappo_local,3,dropout,collision,500,1.0,1.0,1.0
mappo_local,3,dynamic,team_success,500,0.0,0.0,0.0
mappo_local,3,dynamic,collision,500,1.0,1.0,1.0
mappo_local,3,static,team_success,500,0.0,0.0,0.0
mappo_local,3,static,collision,500,1.0,1.0,1.0
mappo_local,3,wind,team_success,500,0.0,0.0,0.0
mappo_local,3,wind,collision,500,1.0,1.0,1.0
mappo_local,5,dense,team_success,500,0.0,0.0,0.0
mappo_local,5,dense,collision,500,1.0,1.0,1.0
mappo_local,5,dropout,team_success,500,0.0,0.0,0.0
mappo_local,5,dropout,collision,500,1.0,1.0,1.0
mappo_local,5,dynamic,team_success,500,0.0,0.0,0.0
mappo_local,5,dynamic,collision,500,1.0,1.0,1.0
mappo_local,5,static,team_success,500,0.0,0.0,0.0
mappo_local,5,static,collision,500,1.0,1.0,1.0
mappo_local,5,wind,team_success,500,0.0,0.0,0.0
mappo_local,5,wind,collision,500,1.0,1.0,1.0
mappo_local,7,dense,team_success,500,0.0,0.0,0.0
mappo_local,7,dense,collision,500,1.0,1.0,1.0
mappo_local,7,dropout,team_success,500,0.0,0.0,0.0
mappo_local,7,dropout,collision,500,1.0,1.0,1.0
mappo_local,7,dynamic,team_success,500,0.0,0.0,0.0
mappo_local,7,dynamic,collision,500,1.0,1.0,1.0
mappo_local,7,static,team_success,500,0.0,0.0,0.0
mappo_local,7,static,collision,500,1.0,1.0,1.0
mappo_local,7,wind,team_success,500,0.0,0.0,0.0
mappo_local,7,wind,collision,500,1.0,1.0,1.0
mappo_local,10,dense,team_success,500,0.0,0.0,0.0
mappo_local,10,dense,collision,500,1.0,1.0,1.0
mappo_local,10,dropout,team_success,500,0.0,0.0,0.0
mappo_local,10,dropout,collision,500,1.0,1.0,1.0
mappo_local,10,dynamic,team_success,500,0.0,0.0,0.0
mappo_local,10,dynamic,collision,500,1.0,1.0,1.0
mappo_local,10,static,team_success,500,0.0,0.0,0.0
mappo_local,10,static,collision,500,1.0,1.0,1.0
mappo_local,10,wind,team_success,500,0.0,0.0,0.0
mappo_local,10,wind,collision,500,1.0,1.0,1.0
mappo_local,12,ood_dense,team_success,500,0.0,0.0,0.0
mappo_local,12,ood_dense,collision,500,1.0,1.0,1.0
mappo_privileged,3,dense,team_success,500,0.0,0.0,0.0
mappo_privileged,3,dense,collision,500,1.0,1.0,1.0
mappo_privileged,3,dropout,team_success,500,0.0,0.0,0.0
mappo_privileged,3,dropout,collision,500,1.0,1.0,1.0
mappo_privileged,3,dynamic,team_success,500,0.0,0.0,0.0
mappo_privileged,3,dynamic,collision,500,1.0,1.0,1.0
mappo_privileged,3,static,team_success,500,0.0,0.0,0.0
mappo_privileged,3,static,collision,500,1.0,1.0,1.0
mappo_privileged,3,wind,team_success,500,0.0,0.0,0.0
mappo_privileged,3,wind,collision,500,1.0,1.0,1.0
mappo_privileged,5,dense,team_success,500,0.0,0.0,0.0
mappo_privileged,5,dense,collision,500,1.0,1.0,1.0
mappo_privileged,5,dropout,team_success,500,0.0,0.0,0.0
mappo_privileged,5,dropout,collision,500,1.0,1.0,1.0
mappo_privileged,5,dynamic,team_success,500,0.0,0.0,0.0
mappo_privileged,5,dynamic,collision,500,1.0,1.0,1.0
mappo_privileged,5,static,team_success,500,0.0,0.0,0.0
mappo_privileged,5,static,collision,500,1.0,1.0,1.0
mappo_privileged,5,wind,team_success,500,0.0,0.0,0.0
mappo_privileged,5,wind,collision,500,1.0,1.0,1.0
mappo_privileged,7,dense,team_success,500,0.0,0.0,0.0
mappo_privileged,7,dense,collision,500,1.0,1.0,1.0
mappo_privileged,7,dropout,team_success,500,0.0,0.0,0.0
mappo_privileged,7,dropout,collision,500,1.0,1.0,1.0
mappo_privileged,7,dynamic,team_success,500,0.0,0.0,0.0
mappo_privileged,7,dynamic,collision,500,1.0,1.0,1.0
mappo_privileged,7,static,team_success,500,0.0,0.0,0.0
mappo_privileged,7,static,collision,500,1.0,1.0,1.0
mappo_privileged,7,wind,team_success,500,0.0,0.0,0.0
mappo_privileged,7,wind,collision,500,1.0,1.0,1.0
mappo_privileged,10,dense,team_success,500,0.0,0.0,0.0
mappo_privileged,10,dense,collision,500,1.0,1.0,1.0
mappo_privileged,10,dropout,team_success,500,0.0,0.0,0.0
mappo_privileged,10,dropout,collision,500,1.0,1.0,1.0
mappo_privileged,10,dynamic,team_success,500,0.0,0.0,0.0
mappo_privileged,10,dynamic,collision,500,1.0,1.0,1.0
mappo_privileged,10,static,team_success,500,0.0,0.0,0.0
mappo_privileged,10,static,collision,500,1.0,1.0,1.0
mappo_privileged,10,wind,team_success,500,0.0,0.0,0.0
mappo_privileged,10,wind,collision,500,1.0,1.0,1.0
mappo_privileged,12,ood_dense,team_success,500,0.0,0.0,0.0
mappo_privileged,12,ood_dense,collision,500,1.0,1.0,1.0
