step,time_s,uav,x_m,y_m,z_m,goal_x_m,goal_y_m,goal_z_m
0,0.0,1,7.2326459884643555,0.12903286516666412,2.6509811878204346,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
0,0.0,2,1.7820264101028442,6.079254150390625,2.8027596473693848,-1.7820264101028442,-6.079254150390625,4.519034385681152
0,0.0,3,-5.719174861907959,4.171810626983643,3.2434940338134766,5.719174861907959,-4.171810626983643,4.364777088165283
0,0.0,4,-5.001323223114014,-3.716939926147461,3.64967679977417,5.001323223114014,3.716939926147461,4.222613334655762
0,0.0,5,2.395526647567749,-6.9749226570129395,2.4011311531066895,-2.395526647567749,6.9749226570129395,4.659604072570801
1,0.25,1,7.090208530426025,0.08961733430624008,2.7712244987487793,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
1,0.25,2,1.827686071395874,5.944318771362305,2.8070199489593506,-1.7820264101028442,-6.079254150390625,4.519034385681152
1,0.25,3,-5.611612319946289,4.036875247955322,3.3637373447418213,5.719174861907959,-4.171810626983643,4.364777088165283
1,0.25,4,-5.087230205535889,-3.8518753051757812,3.7699201107025146,5.001323223114014,3.716939926147461,4.222613334655762
1,0.25,5,2.253089427947998,-6.925694465637207,2.521374464035034,-2.395526647567749,6.9749226570129395,4.659604072570801
2,0.5,1,6.869637966156006,0.05259527638554573,2.9058492183685303,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
2,0.5,2,1.919516921043396,5.85819673538208,2.8375563621520996,-1.7820264101028442,-6.079254150390625,4.519034385681152
2,0.5,3,-5.380456447601318,3.792127847671509,3.5108165740966797,5.719174861907959,-4.171810626983643,4.364777088165283
2,0.5,4,-5.049543857574463,-3.884010076522827,3.89949631690979,5.001323223114014,3.716939926147461,4.222613334655762
2,0.5,5,2.136685371398926,-6.934674263000488,2.673799991607666,-2.395526647567749,6.9749226570129395,4.659604072570801
3,0.75,1,6.764289379119873,-0.005532644689083099,3.0225837230682373,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
3,0.75,2,1.9695923328399658,5.696445941925049,2.8715128898620605,-1.7820264101028442,-6.079254150390625,4.519034385681152
3,0.75,3,-5.1098785400390625,3.543461322784424,3.640376567840576,5.719174861907959,-4.171810626983643,4.364777088165283
3,0.75,4,-5.057681560516357,-4.04326057434082,4.014300346374512,5.001323223114014,3.716939926147461,4.222613334655762
3,0.75,5,1.9661487340927124,-6.872257232666016,2.8113677501678467,-2.395526647567749,6.9749226570129395,4.659604072570801
4,1.0,1,6.558671474456787,-0.04345528408885002,3.1514079570770264,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
4,1.0,2,2.092529773712158,5.559762477874756,2.887038230895996,-1.7820264101028442,-6.079254150390625,4.519034385681152
4,1.0,3,-4.964505672454834,3.301713228225708,3.7778100967407227,5.719174861907959,-4.171810626983643,4.364777088165283
4,1.0,4,-4.9410247802734375,-4.067648887634277,4.131792068481445,5.001323223114014,3.716939926147461,4.222613334655762
4,1.0,5,1.8668233156204224,-6.894586086273193,2.960770845413208,-2.395526647567749,6.9749226570129395,4.659604072570801
5,1.25,1,6.486078262329102,-0.09969225525856018,3.275477170944214,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
5,1.25,2,2.122293710708618,5.3960185050964355,2.9846506118774414,-1.7820264101028442,-6.079254150390625,4.519034385681152
5,1.25,3,-4.746200084686279,3.0671355724334717,3.910721778869629,5.719174861907959,-4.171810626983643,4.364777088165283
5,1.25,4,-4.844882965087891,-4.206841945648193,4.253167629241943,5.001323223114014,3.716939926147461,4.222613334655762
5,1.25,5,1.712895393371582,-6.8053765296936035,3.1053385734558105,-2.395526647567749,6.9749226570129395,4.659604072570801
6,1.5,1,6.3134894371032715,-0.14579424262046814,3.411431074142456,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
6,1.5,2,2.2527105808258057,5.292847156524658,3.000084161758423,-1.7820264101028442,-6.079254150390625,4.519034385681152
6,1.5,3,-4.5591888427734375,2.8096110820770264,4.04947566986084,5.719174861907959,-4.171810626983643,4.364777088165283
6,1.5,4,-4.628547191619873,-4.2303786277771,4.386929512023926,5.001323223114014,3.716939926147461,4.222613334655762
6,1.5,5,1.5930092334747314,-6.850511074066162,3.2577242851257324,-2.395526647567749,6.9749226570129395,4.659604072570801
7,1.75,1,6.283420562744141,-0.24526385962963104,3.5339603424072266,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
