policy,num_agents,episodes,completion_rate,collision_rate,tracking_error_median,tracking_error_q1,tracking_error_q3,p95_send_latency_median_ms,p95_send_latency_q1_ms,p95_send_latency_q3_ms
gcbf_local,3,100,1.0,0.0,1.7471723842522064,1.7006745842776776,1.878016094255889,2.3831940488889813,2.108699583914131,2.7570397360250354
gcbf_local,5,100,1.0,0.0,1.7178476991095615,1.6596674360512482,1.78578402571049,3.1041415641084313,2.9707533540204167,3.243690938688814
mappo_local,3,100,1.0,0.0,1.6514105146804796,1.6192050264514168,1.6850228016018678,2.4366924772039056,2.1284098038449883,2.7125010383315384
mappo_local,5,100,1.0,0.0,1.6974518101697882,1.6747240093871507,1.7217428919433617,3.132414072751999,3.018534102011472,3.295910952147097
